"row_id","state","region","sales","profit","sum_sales"
"1","Kentucky","South","262","42","262"
"2","Kentucky","South","732","220","732"
"3","California","West","15","7","15"
"4","Florida","South","958","-383","958"
"5","Florida","South","22","3","22"
"6","California","West","49","14","49"
"7","California","West","7","2","7"
"8","California","West","907","91","907"
"9","California","West","19","6","19"
"10","California","West","115","34","115"
"11","California","West","1706","85","1706"
"12","California","West","911","68","911"
"13","North Carolina","South","16","5","16"
"14","Washington","West","408","133","408"
"15","Texas","Central","69","-124","69"
"16","Texas","Central","3","-4","3"
"17","Wisconsin","Central","666","13","666"
"18","Utah","West","56","10","56"
"19","California","West","9","2","9"
"20","California","West","213","16","213"
"21","California","West","23","7","23"
"22","Nebraska","Central","19","5","19"
"23","Nebraska","Central","60","16","60"
"24","Pennsylvania","East","71","-1","71"
"25","Utah","West","1045","240","1045"
"26","California","West","12","4","12"
"27","California","West","91","12","91"
"28","Pennsylvania","East","3083","-1665","3083"
"29","Pennsylvania","East","10","-7","10"
"30","Pennsylvania","East","124","16","124"
"31","Pennsylvania","East","3","1","3"
"32","Pennsylvania","East","86","10","86"
"33","Pennsylvania","East","7","-6","7"
"34","Pennsylvania","East","16","4","16"
"35","Texas","Central","29","10","29"
"36","Texas","Central","1098","123","1098"
"37","Texas","Central","191","-148","191"
"38","Texas","Central","113","35","113"
"39","Texas","Central","532","-47","532"
"40","Texas","Central","212","-15","212"
"41","Texas","Central","371","42","371"
"42","Illinois","Central","147","17","147"
"43","California","West","78","4","78"
"44","Florida","South","96","10","96"
"45","Minnesota","Central","46","20","46"
"46","Minnesota","Central","17","8","17"
"47","Michigan","Central","212","8","212"
"48","Delaware","East","45","5","45"
"49","Delaware","East","22","6","22"
"50","Indiana","Central","38","18","38"
"51","Indiana","Central","75","35","75"
"52","Indiana","Central","6","3","6"
"53","Indiana","Central","90","17","90"
"54","New York","East","15","6","15"
"55","New York","East","1030","299","1030"
"56","New York","East","209","52","209"
"57","New York","East","32","16","32"
"58","New York","East","319","7","319"
"59","New York","East","15","7","15"
"60","New York","East","30","3","30"
"61","New York","East","48","16","48"
"62","New York","East","2","1","2"
"63","California","West","14","6","14"
"64","California","West","26","9","26"
"65","California","West","147","69","147"
"66","California","West","80","22","80"
"67","Illinois","Central","213","-15","213"
"68","Arizona","West","1113","111","1113"
"69","Arizona","West","168","63","168"
"70","Virginia","South","76","36","76"
"71","New York","East","5","2","5"
"72","Michigan","Central","19","9","19"
"73","Tennessee","South","832","-114","832"
"74","Tennessee","South","97","1","97"
"75","Tennessee","South","73","-18","73"
"76","Texas","Central","1","-2","1"
"77","Texas","Central","10","-6","10"
"78","Texas","Central","27","3","27"
"79","Texas","Central","19","-14","19"
"80","Alabama","South","208","56","208"
"81","Alabama","South","17","8","17"
"82","California","West","15","4","15"
"83","California","West","21","6","21"
"84","North Carolina","South","201","63","201"
"85","Illinois","Central","230","-49","230"
"86","South Carolina","South","302","33","302"
"87","Minnesota","Central","20","7","20"
"88","Minnesota","Central","6","3","6"
"89","Texas","Central","158","14","158"
"90","California","West","20","7","20"
"91","California","West","74","8","74"
"92","California","West","6","3","6"
"93","Minnesota","Central","13","6","13"
"94","Minnesota","Central","53","17","53"
"95","Minnesota","Central","33","16","33"
"96","Oregon","West","6","-4","6"
"97","New York","East","97","41","97"
"98","California","West","51","18","51"
"99","Minnesota","Central","78","23","78"
"100","Illinois","Central","65","23","65"
"101","Illinois","Central","96","-11","96"
"102","Illinois","Central","2","-3","2"
"103","Minnesota","Central","24","12","24"
"104","Colorado","West","239","-27","239"
"105","Colorado","West","102","-4","102"
"106","Colorado","West","37","-26","37"
"107","North Carolina","South","74","18","74"
"108","North Carolina","South","28","2","28"
"109","North Carolina","South","3","1","3"
"110","Illinois","Central","340","68","340"
"111","New York","East","42","11","42"
"112","Iowa","Central","76","23","76"
"113","Iowa","Central","27","13","27"
"114","Ohio","East","40","15","40"
"115","Ohio","East","5","2","5"
"116","Ohio","East","24","7","24"
"117","Ohio","East","130","44","130"
"118","Washington","West","788","165","788"
"119","Tennessee","South","158","-116","158"
"120","Delaware","East","47","18","47"
"121","Delaware","East","31","14","31"
"122","Delaware","East","227","63","227"
"123","Delaware","East","115","52","115"
"124","Delaware","East","68","20","68"
"125","Texas","Central","601","-9","601"
"126","Illinois","Central","618","-408","618"
"127","Arizona","West","2","-2","2"
"128","Arizona","West","244","30","244"
"129","California","West","81","-9","81"
"130","California","West","239","26","239"
"131","Ohio","East","60","-12","60"
"132","Ohio","East","78","29","78"
"133","Ohio","East","21","7","21"
"134","California","West","20","10","20"
"135","California","West","35","17","35"
"136","California","West","12","3","12"
"137","California","West","4","2","4"
"138","California","West","76","27","76"
"139","California","West","66","18","66"
"140","California","West","43","21","43"
"141","Pennsylvania","East","83","10","83"
"142","California","West","9","2","9"
"143","California","West","11","5","11"
"144","California","West","144","69","144"
"145","Missouri","Central","839","218","839"
"146","California","West","672","20","672"
"147","Ohio","East","94","13","94"
"148","Wisconsin","Central","384","104","384"
"149","Wisconsin","Central","150","6","150"
"150","Wisconsin","Central","1952","586","1952"
"151","Wisconsin","Central","172","81","172"
"152","Arizona","West","158","18","158"
"153","Arizona","West","203","15","203"
"154","California","West","58","26","58"
"155","California","West","106","49","106"
"156","California","West","81","21","81"
"157","Washington","West","7","2","7"
"158","Washington","West","458","51","458"
"159","Oklahoma","Central","15","7","15"
"160","Oklahoma","Central","945","236","945"
"161","California","West","6","3","6"
"162","Pennsylvania","East","54","1","54"
"163","New Mexico","West","28","13","28"
"164","Washington","West","28","10","28"
"165","Texas","Central","10","3","10"
"166","Texas","Central","8160","-1360","8160"
"167","Texas","Central","276","-59","276"
