rating_id;inquiry_id;client_id;agent_id;rating_date;overall_rating;resolution_speed_rating;politeness_rating;knowledge_rating;feedback;would_recommend;regulation_followed
1;47;1028;9;15.02.2025;2;2;3;2;Разочарован сервисом;ЛОЖЬ;ИСТИНА
2;17;1050;2;27.01.2025;4;5;4;3;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
3;78;1024;9;29.10.2024;4;3;3;5;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
4;61;1020;4;25.12.2024;4;5;3;4;Всегда приятно иметь дело с профессионалами;ИСТИНА;ИСТИНА
5;21;1022;7;23.09.2024;5;5;5;5;Вежливый и компетентный специалист;ИСТИНА;ЛОЖЬ
6;91;1043;9;09.10.2024;3;3;3;4;В целом неплохо, но можно лучше;ЛОЖЬ;ИСТИНА
7;54;1016;10;20.10.2024;5;5;5;5;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
8;93;1041;1;08.01.2025;4;5;5;5;Отличная работа, спасибо!;ИСТИНА;ЛОЖЬ
9;19;1011;4;15.11.2024;4;3;3;4;Очень доволен качеством обслуживания;ИСТИНА;ИСТИНА
10;54;1016;3;22.10.2024;5;5;5;5;Быстро и качественно;ИСТИНА;ИСТИНА
11;91;1043;9;06.10.2024;4;4;5;4;Отличная работа, спасибо!;ИСТИНА;ЛОЖЬ
12;41;1023;3;08.11.2024;5;5;5;5;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
13;79;1036;8;25.11.2024;5;5;5;4;Вежливый и компетентный специалист;ИСТИНА;ИСТИНА
14;99;1050;5;25.12.2024;5;5;5;5;Превзошли мои ожидания;ИСТИНА;ИСТИНА
15;37;1046;2;13.12.2024;5;5;5;4;Быстро и качественно;ИСТИНА;ИСТИНА
16;6;1006;5;28.01.2025;4;5;4;5;Превзошли мои ожидания;ИСТИНА;ЛОЖЬ
17;28;1011;9;22.12.2024;5;5;5;5;Вежливый и компетентный специалист;ИСТИНА;ИСТИНА
18;14;1001;10;11.03.2025;3;4;4;2;В целом неплохо, но можно лучше;ЛОЖЬ;ИСТИНА
19;7;1050;2;27.11.2024;4;3;5;3;Превзошли мои ожидания;ИСТИНА;ИСТИНА
20;71;1050;3;16.01.2025;5;5;5;4;Превзошли мои ожидания;ИСТИНА;ИСТИНА
21;42;1011;5;24.10.2024;5;5;5;4;Очень доволен качеством обслуживания;ИСТИНА;ИСТИНА
22;23;1035;7;14.10.2024;5;5;5;4;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
23;5;1007;1;12.12.2024;4;4;4;4;Очень доволен качеством обслуживания;ИСТИНА;ЛОЖЬ
24;18;1020;2;14.11.2024;4;3;4;3;Оперативно решили мою проблему;ИСТИНА;ЛОЖЬ
25;83;1020;5;08.02.2025;1;1;2;2;Не перезвонили, как обещали;ЛОЖЬ;ИСТИНА
26;23;1035;10;18.10.2024;5;5;4;5;Отличная работа, спасибо!;ИСТИНА;ИСТИНА
27;24;1013;8;04.10.2024;4;3;4;4;Оперативно решили мою проблему;ИСТИНА;ИСТИНА
28;58;1018;5;07.12.2024;4;3;4;5;Всегда приятно иметь дело с профессионалами;ИСТИНА;ИСТИНА
29;89;1038;4;14.09.2024;5;5;4;5;Превзошли мои ожидания;ИСТИНА;ИСТИНА
30;89;1038;2;18.09.2024;4;3;3;4;Оперативно решили мою проблему;ИСТИНА;ИСТИНА
31;59;1046;1;09.11.2024;4;4;5;5;Отличная работа, спасибо!;ИСТИНА;ИСТИНА
32;98;1010;6;06.01.2025;5;4;5;5;Всегда приятно иметь дело с профессионалами;ИСТИНА;ИСТИНА
33;10;1021;10;20.12.2024;2;3;1;3;Разочарован сервисом;ЛОЖЬ;ИСТИНА
